PULocationID,trip_distance,fare_amount,year
142,2.35,10.5,2018
161,0.5,6.5,2018
186,3.9,17.0,2018
142,0.43,5.0,2018
186,1.3,7.0,2018
170,1.6,8.5,2018
263,1.0,7.0,2018
163,0.3,3.0,2018
87,9.4,28.5,2018
50,2.04,11.0,2018
141,2.6,10.0,2018
90,0.55,4.0,2018
264,0.81,5.0,2018
236,1.82,12.0,2018
132,17.75,52.0,2018
236,1.4,9.5,2018
232,3.17,12.5,2018
141,2.3,8.5,2018
100,6.63,22.5,2018
162,0.9,7.0,2018
43,1.8,10.0,2018
158,1.8,10.5,2018
132,20.06,52.0,2018
48,4.97,18.0,2018
151,1.52,7.0,2018
90,0.9,9.0,2018
262,1.0,6.0,2018
170,0.9,6.0,2018
141,2.4,11.0,2018
239,4.2,20.5,2018
239,1.8,7.0,2018
142,0.65,6.0,2018
43,3.5,16.0,2018
87,3.41,12.5,2018
164,0.77,4.5,2018
226,1.13,5.5,2018
161,3.7,15.0,2018
161,1.17,8.5,2018
142,0.85,6.0,2018
230,7.36,28.5,2018
249,0.5,4.5,2018
132,17.28,52.0,2018
68,0.86,5.5,2018
262,0.9,6.5,2018
74,0.85,4.5,2018
138,10.5,31.5,2018
68,0.7,6.0,2018
230,5.7,23.0,2018
262,8.9,25.5,2018
138,5.7,21.5,2018
163,3.14,15.5,2018
238,1.85,11.5,2018
246,1.7,10.5,2018
140,4.0,17.5,2018
236,1.63,7.0,2018
140,0.86,6.0,2018
166,5.69,19.5,2018
234,1.53,7.5,2018
125,5.96,20.5,2018
13,5.8,21.5,2018
186,10.94,32.5,2018
144,3.1,16.0,2018
100,1.0,5.0,2018
114,2.42,12.0,2018
246,1.1,9.0,2018
140,1.9,10.0,2018
164,0.48,4.5,2018
132,17.98,52.0,2018
170,16.62,52.0,2018
90,1.18,6.5,2018
239,0.51,5.0,2018
68,31.6,112.0,2018
144,8.9,28.0,2018
264,1.8,13.0,2018
138,11.5,35.0,2018
230,1.2,6.0,2018
233,1.4,9.5,2018
107,5.66,24.5,2018
263,2.8,12.5,2018
234,0.98,6.5,2018
262,0.3,3.5,2018
246,3.27,14.5,2018
231,0.9,6.5,2018
164,1.0,7.0,2018
230,2.89,12.0,2018
148,7.09,23.0,2018
141,2.79,11.5,2018
230,0.86,9.5,2018
164,1.98,9.5,2018
68,1.78,8.5,2018
161,1.69,9.0,2018
233,1.6,7.5,2018
100,1.19,5.5,2018
164,2.05,13.5,2018
161,9.54,33.5,2018
141,1.6,9.0,2018
264,2.3,13.0,2018
211,0.6,4.5,2018
163,1.0,9.0,2018
113,8.9,29.5,2018
90,1.9,8.0,2018
144,1.21,6.5,2018
68,1.1,7.0,2018
161,2.35,11.5,2018
246,1.12,6.0,2018
261,5.43,17.0,2018
234,0.8,9.0,2018
163,1.4,10.0,2018
233,1.2,6.5,2018
238,0.44,3.5,2018
170,2.25,13.0,2018
229,1.48,9.0,2018
211,0.68,4.5,2018
186,2.21,9.5,2018
233,2.04,10.5,2018
90,1.83,10.0,2018
161,2.9,11.5,2018
68,3.6,14.5,2018
162,1.4,12.5,2018
233,0.4,5.0,2018
234,2.9,10.5,2018
234,1.31,10.5,2018
230,1.55,12.0,2018
170,2.59,11.0,2018
246,1.11,8.5,2018
164,0.79,7.5,2018
239,2.65,11.5,2018
140,1.8,12.5,2018
186,0.68,10.5,2018
236,0.4,4.5,2018
68,2.1,11.0,2018
236,1.0,7.5,2018
148,2.7,12.5,2018
170,1.9,13.5,2018
162,0.37,4.0,2018
229,0.93,6.0,2018
75,7.43,24.5,2018
143,8.0,23.0,2018
132,19.2,52.0,2018
79,1.1,7.0,2018
229,0.97,8.5,2018
144,3.6,12.0,2018
236,1.5,9.5,2018
43,3.48,13.5,2018
230,1.4,9.0,2018
161,1.04,10.5,2018
107,5.0,17.0,2018
230,0.95,5.5,2018
48,3.45,13.5,2018
95,0.78,5.5,2018
41,4.17,15.5,2018
238,0.6,4.0,2018
68,1.5,9.0,2018
79,3.7,20.5,2018
100,1.1,6.5,2018
239,1.5,7.0,2018
141,2.4,8.5,2018
233,1.77,16.0,2018
50,1.6,11.5,2018
237,2.7,9.5,2018
41,1.0,6.5,2018
249,2.1,11.0,2018
163,4.06,16.0,2018
230,4.67,19.5,2018
239,1.0,6.5,2018
249,1.36,7.0,2018
237,0.96,8.0,2018
132,17.16,52.0,2018
132,6.1,18.5,2018
141,1.3,6.5,2018
100,1.32,11.0,2018
161,16.82,52.0,2018
162,10.62,31.0,2018
140,1.6,10.0,2018
236,1.2,6.0,2018
140,5.21,16.0,2018
75,4.3,24.0,2018
231,1.2,10.0,2018
90,1.3,7.5,2018
138,12.3,33.5,2018
262,7.49,23.5,2018
161,1.25,9.0,2018
264,1.1,7.0,2018
239,0.9,5.5,2018
50,0.5,4.0,2018
234,0.8,5.5,2018
262,2.4,10.5,2018
236,0.59,6.0,2018
100,0.96,5.5,2018
238,0.6,4.5,2018
79,1.28,8.5,2018
161,0.52,5.0,2018
170,0.69,7.0,2018
41,4.69,16.0,2018
170,2.1,10.5,2018
263,0.53,3.5,2018
246,1.56,8.5,2018
170,2.97,14.0,2018
262,1.6,9.0,2018
88,5.33,19.0,2018
143,1.8,10.5,2018
113,1.6,12.5,2018
170,9.04,27.5,2018
162,1.3,7.5,2018
50,0.9,5.5,2018
107,2.38,12.0,2018
132,12.18,34.5,2018
262,0.33,4.0,2018
141,1.0,5.5,2018
79,10.15,31.5,2018
138,9.93,45.0,2018
162,1.2,9.0,2018
161,1.0,6.0,2018
170,1.2,7.0,2018
234,1.2,7.5,2018
162,1.16,6.5,2018
237,1.2,7.5,2018
186,1.3,7.0,2018
68,2.21,8.5,2018
79,2.7,11.0,2018
74,3.64,13.0,2018
113,0.8,6.5,2018
79,5.18,21.5,2018
140,1.1,10.0,2018
100,3.0,17.0,2018
33,2.1,8.5,2018
